worker_id,worker_name,assigned_ws_id,is_available_flag
18000842,Hal,,Y
30553071,Oretha,,Y
20078291,Alline,WS-154994,N
21071263,Eleni,,Y
26199301,Myrl,WS-151822,N
30678974,Beatris,,Y
26419864,Faustino,WS-153711,N
32922956,Keven,WS-151914,N
15130450,Woodrow,,Y
10376572,Tory,WS-150965,N
19467766,Russel,WS-154206,N
17229354,Orlando,,Y
7820007,Johanne,,Y
2994875,Penni,WS-150262,N
29976857,William,WS-150712,N
27290453,Rayford,,Y
2998915,Bethanie,WS-155353,N
20891804,Terrell,,Y
37369926,Vania,WS-152760,N
24462223,Kacy,WS-153170,N
2225223,Virgilio,,Y
22795226,Marvin,,Y
25409582,Wesley,,Y
1143277,Edyth,WS-152145,N
17559897,Lahoma,WS-150590,N
7200065,Oscar,WS-150531,N
14137674,Victor,,Y
17437312,Bulah,,Y
28672509,Isis,WS-153155,N
290975,Lionel,WS-153421,N
23272753,Randolph,,Y
2229775,Randee,WS-152772,N
6185519,Dorethea,WS-155757,N
25848875,Porter,WS-153229,N
34545957,Nelida,,Y
36719222,Tai,,Y
25248528,Randal,WS-153015,N
5981202,Crysta,,Y
2723902,Moses,WS-155777,N
26761337,Rory,,Y
6561412,Blake,,Y
7461571,Teresia,WS-151438,N
19312506,Gonzalo,,Y
3796781,Garry,,Y
7958195,Yvone,WS-150426,N
9092766,Arlie,WS-154254,N
17892724,Ross,,Y
23323058,Glynda,WS-150301,N
4363685,Sona,WS-155003,N
29888117,Karly,,Y
31707338,Charis,WS-151609,N
6845139,Shawanda,,Y
21490345,Clemencia,,Y
27107897,Willow,,Y
14916716,Georgine,,Y
16171603,Lloyd,WS-152567,N
24672555,Paris,WS-152085,N
21041275,Agustin,WS-155733,N
35166205,Bobette,,Y
14451250,Mose,,Y
14021213,Kasey,,Y
25045821,Maricruz,WS-150073,N
29213220,Louie,,Y
32629186,Zane,,Y
14903403,Tiesha,,Y
4905459,Kelley,,Y
2476730,Perry,WS-154342,N
13440105,Rayford,,Y
7054755,Laurence,WS-150094,N
186142,Magdalen,WS-155860,N
34525056,Demetrice,,Y
15226169,Gil,,Y
30836631,Thersa,,Y
338061,Franklin,,Y
6342964,Mose,WS-150212,N
11846671,Les,WS-154169,N
35331201,Tennie,WS-154325,N
7093807,Al,,Y
8337208,Sam,,Y
15895723,Camellia,WS-154774,N
9119978,Maia,,Y
24764277,Mckinley,WS-154790,N
4646079,So,,Y
1252069,Santiago,,Y
33652332,Jeanmarie,WS-151610,N
5077290,Parker,WS-153586,N
25829038,Mariella,WS-150962,N
310014,Jerrod,,Y
6713051,Jetta,,Y
28811743,Rhett,,Y
36996974,Albertine,,Y
20681918,Mitzie,WS-152082,N
10204469,Harold,WS-152152,N
37071641,Rene,WS-150112,N
19409077,Kayce,WS-152684,N
7064528,Mikel,,Y
19884527,Jamaal,WS-150277,N
16170257,Vicente,WS-154505,N
27012211,Oralee,,Y
29743255,Floria,WS-151902,N
10552948,Rhona,,Y
4460595,Willis,,Y
19917629,Humberto,,Y
18390761,Kortney,WS-154139,N
30618759,Ranee,,Y
2225619,Tu,,Y
15804821,Melani,,Y
19978519,Ernie,,Y
2369543,Augustina,WS-150848,N
19338794,Jarvis,WS-150537,N
27818698,Jeffrey,,Y
11283302,Franklyn,,Y
20510940,Kimbra,,Y
20650627,Daine,,Y
37876819,Wiley,,Y
9345916,Drema,,Y
1236424,Logan,,Y
37831955,Clotilde,,Y
358573,Pedro,,Y
36738734,Kirk,WS-155989,N
30415935,Tomas,WS-152586,N
28275594,Morgan,WS-155016,N
35841459,Arlinda,,Y
13880925,Chi,WS-152032,N
21807922,Rocky,WS-154573,N
35046003,Ned,WS-154915,N
27536398,Janeth,,Y
12146973,Kourtney,WS-155066,N
4609131,Merna,WS-150651,N
8904997,Andres,,Y
16190951,Jovan,,Y
18553042,Jeffry,,Y
99390,Man,,Y
19991664,Hyman,WS-154568,N
18999966,Leonard,,Y
12601176,Earlean,WS-155332,N
14134034,Trang,WS-150259,N
11581083,Grisel,WS-153053,N
26918635,Adaline,WS-153778,N
34626959,Garret,,Y
19542373,Terica,,Y
8927851,Wilmer,,Y
36976770,Victor,WS-153723,N
10996584,Jacquie,,Y
19420605,Tanja,WS-150362,N
13643027,Tasia,,Y
9542652,Reed,WS-150385,N
2867774,Willena,,Y
24091116,Lane,WS-154032,N
4967728,Carmen,WS-154270,N
8497719,Jules,WS-153750,N
28792128,Oralee,WS-155220,N
26748557,Pamelia,WS-154705,N
27785209,Albert,,Y
8363359,Nichol,,Y
32383509,Bo,WS-152791,N
17972071,Mason,WS-151355,N
31262157,Miesha,WS-155287,N
36600627,Kaylene,WS-154936,N
36390225,Charise,WS-153290,N
4675625,Blossom,WS-155065,N
9139882,Lorilee,WS-150018,N
21564933,Layne,,Y
8834768,Azucena,,Y
37267244,Marshall,WS-155567,N
2579058,Jaime,WS-152343,N
28362735,Stephen,WS-152930,N
20471369,Ruthe,,Y
22178689,Hwa,,Y
31577710,Desirae,,Y
33864326,Luther,,Y
32381146,Wilmer,,Y
35904489,Maryland,WS-153704,N
26728033,Rocco,,Y
19942178,Bruno,WS-153388,N
11003334,Lieselotte,,Y
23268401,Galina,WS-152424,N
36580211,Carrol,,Y
2387654,Major,,Y
8244523,Lyle,,Y
3932130,Min,,Y
23131318,Philip,WS-151686,N
8347006,Robena,WS-151214,N
